C_HLEVEL	C_FULLNAME	C_NAME	C_SYNONYM_CD	C_VISUALATTRIBUTES	C_TOTALNUM	C_BASECODE	C_METADATAXML	C_FACTTABLECOLUMN	C_TABLENAME	C_COLUMNNAME	C_COLUMNDATATYPE	C_OPERATOR	C_DIMCODE	C_COMMENT	C_TOOLTIP	UPDATE_DATE	DOWNLOAD_DATE	IMPORT_DATE	SOURCESYSTEM_CD	VALUETYPE_CD
5	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\17	17	N	LA 	null	birn:mmse17	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\17	null	oasis \ Clinical Measures \ MMSE score \ Moderate Alzheimer's disease \ 17	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\18	18	N	LA 	null	birn:mmse18	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\18	null	oasis \ Clinical Measures \ MMSE score \ Moderate Alzheimer's disease \ 18	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\19	19	N	LA 	null	birn:mmse19	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\19	null	oasis \ Clinical Measures \ MMSE score \ Moderate Alzheimer's disease \ 19	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\20	20	N	LA 	null	birn:mmse20	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\20	null	oasis \ Clinical Measures \ MMSE score \ Mild Alzheimer's disease \ 20	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\22	22	N	LA 	null	birn:mmse22	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\22	null	oasis \ Clinical Measures \ MMSE score \ Mild Alzheimer's disease \ 22	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\23	23	N	LA 	null	birn:mmse23	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\23	null	oasis \ Clinical Measures \ MMSE score \ Mild Alzheimer's disease \ 23	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\25	25	N	LA 	null	birn:mmse25	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\25	null	oasis \ Clinical Measures \ MMSE score \ Mild Alzheimer's disease \ 25	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\26	26	N	LA 	null	birn:mmse26	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\26	null	oasis \ Clinical Measures \ MMSE score \ Mild Alzheimer's disease \ 26	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
4	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease	No Alzheimers disease	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease	null	oasis \ Clinical Measures \ MMSE score \ No Alzheimer's disease	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
2	\BIRN\oasis\Images	Images	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images	null	oasis \ Images	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
3	\BIRN\oasis\Derived Anatomic Volumes\Normalized Whole Brain Volume	Normalized Whole Brain Volume	N	LA 	null	birn:nwbv	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Derived Anatomic Volumes\Normalized Whole Brain Volume	null	oasis \ Derived Anatomic Volumes \ Normalized Whole Brain Volume	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
3	\BIRN\oasis\Derived Anatomic Volumes\Atlas scaling factor	Atlas scaling factor	N	LA 	null	birn:asf	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Derived Anatomic Volumes\Atlas scaling factor	null	oasis \ Derived Anatomic Volumes \ Atlas scaling factor	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
3	\BIRN\oasis\Images\Raw Images	Raw Images	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images	null	oasis \ Images \ Raw Images	null	null	null	OASIS	null
3	\BIRN\oasis\Images\Averaged Images	Averaged Images	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Averaged Images	null	oasis \ Images \ Averaged Images	null	null	null	OASIS	null
3	\BIRN\oasis\Images\Atlas Registered	Atlas Registered	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Atlas Registered	null	oasis \ Images \ Atlas Registered Images	null	null	null	OASIS	null
3	\BIRN\oasis\Images\Masked Atlas	Masked Atlas	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Masked Atlas	null	oasis \ Images \ Masked Atlas Images	null	null	null	OASIS	null
3	\BIRN\oasis\Images\Gray/White Segmented	Gray/White Segmented	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Gray/White Segmented	null	oasis \ Images \ Gray/White Segmented	null	null	null	OASIS	null
4	\BIRN\oasis\Images\Gray/White Segmented\Transverse	Transverse	N	LI 	null	birn:gwseg_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Gray/White Segmented\Transverse	null	oasis \ Images \ Gray/White Segmented \ Transverse	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Gray/White Segmented\Coronal	Coronal	N	LI 	null	birn:gwseg_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Gray/White Segmented\Coronal	null	oasis \ Images \ Gray/White Segmented \ Coronal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Gray/White Segmented\Sagittal	Sagittal	N	LI 	null	birn:gwseg_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Gray/White Segmented\Sagittal	null	oasis \ Images \ Gray/White Segmented \ Sagittal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Masked Atlas\Transverse	Transverse	N	LI 	null	birn:maskat_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Masked Atlas\Transverse	null	oasis \ Images \ Masked Atlas \ Transverse	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Masked Atlas\Coronal	Coronal	N	LI 	null	birn:maskat_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Masked Atlas\Coronal	null	oasis \ Images \ Masked Atlas \ Coronal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Masked Atlas\Sagittal	Sagittal	N	LI 	null	birn:maskat_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Masked Atlas\Sagittal	null	oasis \ Images \ Masked Atlas \ Sagittal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Atlas Registered\Sagittal	Sagittal	N	LI 	null	birn:atlas_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Atlas Registered\Sagittal	null	oasis \ Images \ Atlas Registered \ Sagittal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Atlas Registered\Coronal	Coronal	N	LI 	null	birn:atlas_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Atlas Registered\Coronal	null	oasis \ Images \ Atlas Registered \ Coronal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Atlas Registered\Transverse	Transverse	N	LI 	null	birn:atlas_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Atlas Registered\Transverse	null	oasis \ Images \ Atlas Registered \ Transverse	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Averaged Images\Transverse	Transverse	N	LI 	null	birn:avg_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Averaged Images\Transverse	null	oasis \ Images \ Averaged Images \ Transverse	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Averaged Images\Coronal	Coronal	N	LI 	null	birn:avg_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Averaged Images\Coronal	null	oasis \ Images \ Averaged Images \ Coronal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Averaged Images\Sagittal	Sagittal	N	LI 	null	birn:avg_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Averaged Images\Sagittal	null	oasis \ Images \ Averaged Images \ Sagittal	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Raw Images\Third Sample	Third Sample	N	FA 	null	birn:image3	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Third Sample	null	oasis \ Images \ Raw Images \ Third Sample	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Raw Images\Fourth Sample	Fourth Sample	N	FA 	null	birn:image4	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Fourth Sample	null	oasis \ Images \ Raw Images \ Fourth Sample	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Raw Images\First Sample	First Sample	N	FA 	null	birn:image1	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\First Sample	null	oasis \ Images \ Raw Images \ First Sample	null	null	null	OASIS	IMG
4	\BIRN\oasis\Images\Raw Images\Second Sample	Second Sample	N	FA 	null	birn:image2	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Second Sample	null	oasis \ Images \ Raw Images \ Second Sample	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\First Sample\Sagittal	Sagittal	N	LA 	null	birn:image1_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\First Sample\Sagittal	null	oasis \ Images \ Raw Images \ First Sample \ Sagittal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\First Sample\Coronal	Coronal	N	LI 	null	birn:image1_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\First Sample\Coronal	null	oasis \ Images \ Raw Images \ First Sample \ Coronal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\First Sample\Transverse	Transverse	N	LI 	null	birn:image1_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\First Sample\Transverse	null	oasis \ Images \ Raw Images \ First Sample \ Transverse	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Second Sample\Sagittal	Sagittal	N	LA 	null	birn:image2_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Second Sample\Sagittal	null	oasis \ Images \ Raw Images \ Second Sample \ Sagittal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Second Sample\Coronal	Coronal	N	LI 	null	birn:image2_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Second Sample\Coronal	null	oasis \ Images \ Raw Images \ Second Sample \ Coronal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Second Sample\Transverse	Transverse	N	LI 	null	birn:image2_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Second Sample\Transverse	null	oasis \ Images \ Raw Images \ Second Sample \ Transverse	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Third Sample\Sagittal	Sagittal	N	LA 	null	birn:image3_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Third Sample\Sagittal	null	oasis \ Images \ Raw Images \ Third Sample \ Sagittal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Third Sample\Coronal	Coronal	N	LI 	null	birn:image3_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Third Sample\Coronal	null	oasis \ Images \ Raw Images \ Third Sample \ Coronal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Third Sample\Transverse	Transverse	N	LI 	null	birn:image3_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Third Sample\Transverse	null	oasis \ Images \ Raw Images \ Third Sample \ Transverse	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Fourth Sample\Sagittal	Sagittal	N	LA 	null	birn:image4_sag	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Fourth Sample\Sagittal	null	oasis \ Images \ Raw Images \ Fourth Sample \ Sagittal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Fourth Sample\Coronal	Coronal	N	LI 	null	birn:image4_coronal	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Fourth Sample\Coronal	null	oasis \ Images \ Raw Images \ Third Sample \ Coronal	null	null	null	OASIS	IMG
5	\BIRN\oasis\Images\Raw Images\Fourth Sample\Transverse	Transverse	N	LI 	null	birn:image4_trans	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Images\Raw Images\Fourth Sample\Transverse	null	oasis \ Images \ Raw Images \ Fourth Sample \ Transverse	null	null	null	OASIS	IMG
